symbol,company,anex,acqName,date,pid,tkdAcqm,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,did,tdpTransactionType,tdpDerivativeContractType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),NIDHI VERMA,02-May-2025 21:41,1181913,,0,0,0,0,Equity Shares,1150,540169,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1181913_1430894_02052025094134_WEB.xml,Employees/Designated Employees,1150,0,1328250,Equity Shares,Nil,0,28-Apr-2025,28-Apr-2025,30-Apr-2025,Market Sale,-,NSE,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),NIDHI VERMA,09-Apr-2025 19:57,1181722,,0,0,0,0,Equity Shares,1150,539806,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1181722_1411305_09042025075722_WEB.xml,Employees/Designated Employees,Nil,0,1100895,Equity Shares,1150,0,04-Apr-2025,04-Apr-2025,08-Apr-2025,ESOP,-,NA,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),SIVAKUMAR SIVASANKARAN,09-Apr-2025 19:57,1181722,,0,0,0,0,Equity Shares,1410,539805,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1181722_1411305_09042025075722_WEB.xml,Key Managerial Personnel,Nil,0,1368687,Equity Shares,1410,0,04-Apr-2025,04-Apr-2025,07-Apr-2025,ESOP,-,NA,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),MAHESH ISRANI,09-Apr-2025 19:57,1181722,,0,0,0,0,Equity Shares,1850,539807,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1181722_1411305_09042025075722_WEB.xml,Employees/Designated Employees,Nil,0,1778220,Equity Shares,1850,0,04-Apr-2025,04-Apr-2025,08-Apr-2025,ESOP,-,NA,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),AJIT KRISHNAKUMAR,25-Mar-2025 17:38,1180814,,0,0,0,0,Equity Shares,4450,538204,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180814_1401376_25032025053846_WEB.xml,Director,4450,0,4247792,Equity Shares,Nil,0,20-Mar-2025,20-Mar-2025,24-Mar-2025,Market Sale,-,NSE,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),AJIT KRISHNAKUMAR,04-Mar-2025 20:34,1179100,,0,0,0,0,Equity Shares,4450,535465,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1179100_1392365_04032025083425_WEB.xml,Director,Nil,0,4544340,Equity Shares,4450,0,28-Feb-2025,28-Feb-2025,03-Mar-2025,ESOP,-,NA,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),Sunil D'Souza,18-Feb-2025 18:06,1178090,,0,0,0,0,Equity Shares,25280,533813,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1178090_1387236_18022025060645_WEB.xml,Director,Nil,0,24268800,Equity Shares,25280,0,14-Feb-2025,14-Feb-2025,17-Feb-2025,ESOP,-,NA,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),Sukhjeet Singh Malhotra,18-Feb-2025 18:06,1178090,,0,0,0,0,Equity Shares,1450,533814,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1178090_1387236_18022025060645_WEB.xml,Employees/Designated Employees,Nil,0,1401715,Equity Shares,1450,0,14-Feb-2025,14-Feb-2025,17-Feb-2025,ESOP,-,NA,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),Punit Gupta,18-Feb-2025 18:06,1178090,,0,0,0,0,Equity Shares,1670,533812,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1178090_1387236_18022025060645_WEB.xml,Employees/Designated Employees,445,0,1614890,Equity Shares,2115,0,14-Feb-2025,14-Feb-2025,17-Feb-2025,ESOP,-,NA,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),Puneet Das,18-Feb-2025 18:06,1178090,,0,0,0,0,Equity Shares,2680,533811,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1178090_1387236_18022025060645_WEB.xml,Employees/Designated Employees,Nil,0,2599600,Equity Shares,2680,0,14-Feb-2025,14-Feb-2025,17-Feb-2025,ESOP,-,NA,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),Bharat Puri,20-Dec-2024 18:00,1175579,,0,0,0,0,Equity Shares,4000,529314,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1175579_1329567_20122024060051_WEB.xml,Director,4000,0,3639448,Equity Shares,8000,0,18-Dec-2024,18-Dec-2024,20-Dec-2024,Market Purchase,-,NSE,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),Smitha  Upadhyaya,09-Sep-2024 20:56,1170419,,0,0,0,0,Equity Shares,4150,517854,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170419_1240997_09092024085610_WEB.xml,Employees/Designated Employees,171,0,4946800,Equity Shares,4321,0,05-Sep-2024,05-Sep-2024,06-Sep-2024,Market Purchase,-,NSE,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),Bharat Puri,09-Sep-2024 20:56,1170419,,0,0,0,0,Equity Shares,4000,517853,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170419_1240997_09092024085610_WEB.xml,Director,Nil,0,4767962,Equity Shares,4000,0,05-Sep-2024,05-Sep-2024,09-Sep-2024,Market Purchase,-,NSE,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),Tata Sons Private Limited,02-Sep-2024 19:37,1169832,,0,0,0,0,Equity Shares,13297136,516584,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169832_1236577_02092024073716_WEB.xml,Promoters,270557128,28.39,10877057248,Equity Shares,283854264,28.69,27-Aug-2024,27-Aug-2024,29-Aug-2024,Others,-,NA,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),Shikha Sharma,02-Sep-2024 19:37,1169832,,0,0,0,0,Equity Shares,1923,516583,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169832_1236577_02092024073716_WEB.xml,Director,50000,0.01,1573014,Equity Shares,51923,0.01,27-Aug-2024,27-Aug-2024,29-Aug-2024,Others,-,NA,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),N. CHANDRASEKARAN,02-Sep-2024 19:37,1169832,,0,0,0,0,Equity Shares,3846,516582,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169832_1236577_02092024073716_WEB.xml,Director,100000,0.01,3146028,Equity Shares,103846,0.01,27-Aug-2024,27-Aug-2024,29-Aug-2024,Others,-,NA,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),Kaiwan Olia,02-Sep-2024 19:37,1169832,,0,0,0,0,Equity Shares,2307,516587,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169832_1236577_02092024073716_WEB.xml,Employees/Designated Employees,60000,0.01,1887126,Equity Shares,62307,0.01,27-Aug-2024,27-Aug-2024,29-Aug-2024,Others,-,NA,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),Tata Industries Limited,02-Sep-2024 19:37,1169832,,0,0,0,0,Equity Shares,31524,516586,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169832_1236577_02092024073716_WEB.xml,Promoter Group,819637,0.09,25786632,Equity Shares,851161,0.09,27-Aug-2024,27-Aug-2024,29-Aug-2024,Others,-,NA,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),Ewart Investments Limited,02-Sep-2024 19:37,1169832,,0,0,0,0,Equity Shares,143590,516581,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169832_1236577_02092024073716_WEB.xml,Promoter Group,3733360,0.39,117456620,Equity Shares,3876950,0.39,27-Aug-2024,27-Aug-2024,29-Aug-2024,Others,-,NA,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),Voltas Limited,02-Sep-2024 19:37,1169832,,0,0,0,0,Equity Shares,8788,516580,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169832_1236577_02092024073716_WEB.xml,Promoter Group,228501,0.02,7188584,Equity Shares,237289,0.02,27-Aug-2024,27-Aug-2024,29-Aug-2024,Others,-,NA,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),Tata Investment Corporation Limited,02-Sep-2024 19:37,1169832,,0,0,0,0,Equity Shares,1702806,516585,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169832_1236577_02092024073716_WEB.xml,Promoter Group,44273001,4.65,1392895308,Equity Shares,45975807,4.65,27-Aug-2024,27-Aug-2024,29-Aug-2024,Others,-,NA,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),Ratna Krishnakumar,08-May-2024 18:36,1163955,,0,0,0,0,Equity Shares,27000,504300,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163955_1118284_08052024063603_WEB.xml,Immediate relative,92794,0.01,29590650,Equity Shares,65794,0.01,06-May-2024,06-May-2024,06-May-2024,Market Sale,-,NSE,-
